FID,yr,mo,dy,date,time,tz,st,stf,mag,inj,fat,loss,closs,slon,slat,elon,elat,len,wid,kind,stroke
0,2000,2,24,2/24/2000,20:13:00,3,TX,48,1,0,0,0.09,0,-100.13,36.33,-99.83,36.67,27,150,Tornado,#0000FF
1,2000,2,24,2/24/2000,20:13:00,3,TX,48,1,0,0,0.09,0,-100.13,36.33,-99.83,36.67,27,150,Tornado,#0000FF
2,2000,2,24,2/24/2000,20:13:00,3,TX,48,1,0,0,0.09,0,-100.13,36.33,-99.83,36.67,27,150,Tornado,#0000FF
3,2000,2,24,2/24/2000,20:13:00,3,TX,48,1,0,0,0.09,0,-100.13,36.33,-99.83,36.67,27,150,Tornado,#0000FF
4,2000,2,24,2/24/2000,20:13:00,3,TX,48,1,0,0,0.09,0,-100.13,36.33,-99.83,36.67,27,150,Tornado,#0000FF
5,2000,2,24,2/24/2000,20:13:00,3,TX,48,1,0,0,0.09,0,-100.13,36.33,-99.83,36.67,27,150,Tornado,#0000FF
6,2000,2,24,2/24/2000,20:13:00,3,TX,48,1,0,0,0.09,0,-100.13,36.33,-99.83,36.67,27,150,Tornado,#0000FF
7,2000,2,24,2/24/2000,20:13:00,3,TX,48,1,0,0,0.09,0,-100.13,36.33,-99.83,36.67,27,150,Tornado,#0000FF
8,2000,2,24,2/24/2000,20:13:00,3,TX,48,1,0,0,0.09,0,-100.13,36.33,-99.83,36.67,27,150,Tornado,#0000FF
9,2000,2,24,2/24/2000,20:13:00,3,TX,48,1,0,0,0.09,0,-100.13,36.33,-99.83,36.67,27,150,Tornado,#0000FF
10,2000,2,24,2/24/2000,20:13:00,3,TX,48,1,0,0,0.09,0,-100.13,36.33,-99.83,36.67,27,150,Tornado,#0000FF
11,2000,2,24,2/24/2000,20:13:00,3,TX,48,1,0,0,0.09,0,-100.13,36.33,-99.83,36.67,27,150,Tornado,#0000FF
12,2000,2,24,2/24/2000,20:13:00,3,TX,48,1,0,0,0.09,0,-100.13,36.33,-99.83,36.67,27,150,Tornado,#0000FF
13,2000,3,2,3/2/2000,2:07:00,3,TX,48,1,0,0,0,0,-102.07,32.63,-102.08,32.73,2,200,Tornado,#0000FF
14,2000,3,2,3/2/2000,2:07:00,3,TX,48,1,0,0,0,0,-102.07,32.63,-102.08,32.73,2,200,Tornado,#0000FF
15,2000,3,10,3/10/2000,19:55:00,3,TX,48,3,2,0,1,0,-96.68,30.42,-96.35,30.4,21,800,Tornado,#FFAA00
16,2000,3,10,3/10/2000,19:55:00,3,TX,48,3,2,0,1,0,-96.68,30.42,-96.35,30.4,21,800,Tornado,#FFAA00
17,2000,3,10,3/10/2000,19:55:00,3,TX,48,3,2,0,1,0,-96.68,30.42,-96.35,30.4,21,800,Tornado,#FFAA00
18,2000,3,10,3/10/2000,19:55:00,3,TX,48,3,2,0,1,0,-96.68,30.42,-96.35,30.4,21,800,Tornado,#FFAA00
19,2000,3,10,3/10/2000,19:55:00,3,TX,48,3,2,0,1,0,-96.68,30.42,-96.35,30.4,21,800,Tornado,#FFAA00
20,2000,3,10,3/10/2000,19:55:00,3,TX,48,3,2,0,1,0,-96.68,30.42,-96.35,30.4,21,800,Tornado,#FFAA00
21,2000,3,10,3/10/2000,19:55:00,3,TX,48,3,2,0,1,0,-96.68,30.42,-96.35,30.4,21,800,Tornado,#FFAA00
22,2000,3,10,3/10/2000,19:55:00,3,TX,48,3,2,0,1,0,-96.68,30.42,-96.35,30.4,21,800,Tornado,#FFAA00
23,2000,3,10,3/10/2000,19:55:00,3,TX,48,3,2,0,1,0,-96.68,30.42,-96.35,30.4,21,800,Tornado,#FFAA00
24,2000,3,22,3/22/2000,18:25:00,3,TX,48,0,0,0,0,0,-101.02,32.4,-100.88,32.48,4,250,Tornado,#888888
25,2000,3,22,3/22/2000,18:25:00,3,TX,48,0,0,0,0,0,-101.02,32.4,-100.88,32.48,4,250,Tornado,#888888
26,2000,3,22,3/22/2000,18:25:00,3,TX,48,0,0,0,0,0,-101.02,32.4,-100.88,32.48,4,250,Tornado,#888888
27,2000,3,22,3/22/2000,18:25:00,3,TX,48,0,0,0,0,0,-101.02,32.4,-100.88,32.48,4,250,Tornado,#888888
28,2000,3,22,3/22/2000,19:05:00,3,TX,48,0,0,0,0,0,-101.13,32.12,-101.02,32.15,2,200,Tornado,#888888
29,2000,3,22,3/22/2000,19:05:00,3,TX,48,0,0,0,0,0,-101.13,32.12,-101.02,32.15,2,200,Tornado,#888888
30,2000,3,22,3/22/2000,19:05:00,3,TX,48,0,0,0,0,0,-101.13,32.12,-101.02,32.15,2,200,Tornado,#888888
31,2000,3,22,3/22/2000,19:25:00,3,TX,48,0,0,0,0,0,-101.62,31.77,-101.57,31.82,5,150,Tornado,#888888
32,2000,3,22,3/22/2000,19:25:00,3,TX,48,0,0,0,0,0,-101.62,31.77,-101.57,31.82,5,150,Tornado,#888888
33,2000,3,22,3/22/2000,22:25:00,3,TX,48,1,0,0,0,0,-101.68,31.23,-101.63,31.37,10,200,Tornado,#0000FF
34,2000,3,22,3/22/2000,22:25:00,3,TX,48,1,0,0,0,0,-101.68,31.23,-101.63,31.37,10,200,Tornado,#0000FF
35,2000,3,22,3/22/2000,22:25:00,3,TX,48,1,0,0,0,0,-101.68,31.23,-101.63,31.37,10,200,Tornado,#0000FF
36,2000,3,22,3/22/2000,22:25:00,3,TX,48,1,0,0,0,0,-101.68,31.23,-101.63,31.37,10,200,Tornado,#0000FF
37,2000,3,22,3/22/2000,22:55:00,3,TX,48,2,5,0,0.24,0,-101.58,31.57,-101.42,31.7,12,300,Tornado,#008000
38,2000,3,22,3/22/2000,22:55:00,3,TX,48,2,5,0,0.24,0,-101.58,31.57,-101.42,31.7,12,300,Tornado,#008000
39,2000,3,22,3/22/2000,22:55:00,3,TX,48,2,5,0,0.24,0,-101.58,31.57,-101.42,31.7,12,300,Tornado,#008000
40,2000,3,22,3/22/2000,22:55:00,3,TX,48,2,5,0,0.24,0,-101.58,31.57,-101.42,31.7,12,300,Tornado,#008000
41,2000,3,22,3/22/2000,22:55:00,3,TX,48,2,5,0,0.24,0,-101.58,31.57,-101.42,31.7,12,300,Tornado,#008000
42,2000,3,22,3/22/2000,22:55:00,3,TX,48,2,5,0,0.24,0,-101.58,31.57,-101.42,31.7,12,300,Tornado,#008000
43,2000,3,26,3/26/2000,21:28:00,3,TX,48,1,0,0,0.002,0,-94.78,33.63,-94.72,33.58,4.8,20,Tornado,#0000FF
44,2000,3,26,3/26/2000,21:28:00,3,TX,48,1,0,0,0.002,0,-94.78,33.63,-94.72,33.58,4.8,20,Tornado,#0000FF
45,2000,3,26,3/26/2000,21:53:00,3,TX,48,0,0,0,0,0,-94.45,33.25,-94.38,33.13,1.8,20,Tornado,#888888
46,2000,3,26,3/26/2000,21:53:00,3,TX,48,0,0,0,0,0,-94.45,33.25,-94.38,33.13,1.8,20,Tornado,#888888
47,2000,3,26,3/26/2000,21:53:00,3,TX,48,0,0,0,0,0,-94.45,33.25,-94.38,33.13,1.8,20,Tornado,#888888
48,2000,3,26,3/26/2000,21:53:00,3,TX,48,0,0,0,0,0,-94.45,33.25,-94.38,33.13,1.8,20,Tornado,#888888
49,2000,3,28,3/28/2000,19:05:00,3,TX,48,3,0,0,0,0,-97.12,32.73,-96.98,32.75,8,300,Tornado,#FFAA00
50,2000,3,28,3/28/2000,19:05:00,3,TX,48,3,0,0,0,0,-97.12,32.73,-96.98,32.75,8,300,Tornado,#FFAA00
51,2000,3,28,3/28/2000,19:05:00,3,TX,48,3,0,0,0,0,-97.12,32.73,-96.98,32.75,8,300,Tornado,#FFAA00
52,2000,3,28,3/28/2000,19:05:00,3,TX,48,3,0,0,0,0,-97.12,32.73,-96.98,32.75,8,300,Tornado,#FFAA00
53,2000,4,23,4/23/2000,13:41:00,3,TX,48,2,0,0,0,0,-95.27,33.83,-95.05,33.88,12.5,70,Tornado,#008000
54,2000,4,23,4/23/2000,13:41:00,3,TX,48,2,0,0,0,0,-95.27,33.83,-95.05,33.88,12.5,70,Tornado,#008000
55,2000,4,23,4/23/2000,13:41:00,3,TX,48,2,0,0,0,0,-95.27,33.83,-95.05,33.88,12.5,70,Tornado,#008000
56,2000,4,23,4/23/2000,13:41:00,3,TX,48,2,0,0,0,0,-95.27,33.83,-95.05,33.88,12.5,70,Tornado,#008000
57,2000,4,23,4/23/2000,13:41:00,3,TX,48,2,0,0,0,0,-95.27,33.83,-95.05,33.88,12.5,70,Tornado,#008000
58,2000,4,23,4/23/2000,13:41:00,3,TX,48,2,0,0,0,0,-95.27,33.83,-95.05,33.88,12.5,70,Tornado,#008000
59,2000,4,23,4/23/2000,14:53:00,3,TX,48,2,0,0,0.17,0,-94.93,33.17,-94.65,33.25,16.8,150,Tornado,#008000
60,2000,4,23,4/23/2000,14:53:00,3,TX,48,2,0,0,0.17,0,-94.93,33.17,-94.65,33.25,16.8,150,Tornado,#008000
61,2000,4,23,4/23/2000,14:53:00,3,TX,48,2,0,0,0.17,0,-94.93,33.17,-94.65,33.25,16.8,150,Tornado,#008000
62,2000,4,23,4/23/2000,14:53:00,3,TX,48,2,0,0,0.17,0,-94.93,33.17,-94.65,33.25,16.8,150,Tornado,#008000
63,2000,4,23,4/23/2000,14:53:00,3,TX,48,2,0,0,0.17,0,-94.93,33.17,-94.65,33.25,16.8,150,Tornado,#008000
64,2000,4,23,4/23/2000,14:53:00,3,TX,48,2,0,0,0.17,0,-94.93,33.17,-94.65,33.25,16.8,150,Tornado,#008000
65,2000,4,23,4/23/2000,14:53:00,3,TX,48,2,0,0,0.17,0,-94.93,33.17,-94.65,33.25,16.8,150,Tornado,#008000
66,2000,4,23,4/23/2000,14:53:00,3,TX,48,2,0,0,0.17,0,-94.93,33.17,-94.65,33.25,16.8,150,Tornado,#008000
67,2000,4,23,4/23/2000,15:10:00,3,TX,48,2,0,0,0.01,0,-94.75,33.08,-94.55,33.08,7,180,Tornado,#008000
