County Name,State,CensusPopulation1990,Census Population 2000,Number Change from 1990 to 2000,Percent,Census Population 2010,Number Change from 2000 to 2010,Percent,CNTY_FIPS
Anderson ,TX,48024,55109,7085,14.75304015,58458,3349,6.1,48001
Andrews ,TX,14338,13004,-1334,-9.303947552,14786,1782,13.7,48003
Angelina ,TX,69884,80130,10246,14.66143896,86771,6641,8.3,48005
Aransas ,TX,17892,22497,4605,25.73775989,23158,661,2.9,48007
Archer ,TX,7973,8854,881,11.04979305,9054,200,2.3,48009
Armstrong ,TX,2021,2148,127,6.284017813,1901,-247,-11.5,48011
Atascosa ,TX,30533,38628,8095,26.51229817,44911,6283,16.3,48013
Austin ,TX,19832,23590,3758,18.94917305,28417,4827,20.5,48015
Bailey ,TX,7064,6594,-470,-6.653454134,7165,571,8.7,48017
Bandera ,TX,10562,17645,7083,67.06116266,20485,2840,16.1,48019
Bastrop ,TX,38263,57733,19470,50.88466665,74171,16438,28.5,48021
Baylor ,TX,4385,4093,-292,-6.659064994,3726,-367,-9,48023
Bee ,TX,25135,32359,7224,28.74079968,31861,-498,-1.5,48025
Bell ,TX,191088,237974,46886,24.53633928,310235,72261,30.4,48027
Bexar ,TX,1185394,1392931,207537,17.50784971,1714773,321842,23.1,48029
Blanco ,TX,5972,8418,2446,40.95780308,10497,2079,24.7,48031
Borden ,TX,799,729,-70,-8.760951189,641,-88,-12.1,48033
Bosque ,TX,15125,17204,2079,13.74545455,18212,1008,5.9,48035
Bowie ,TX,81665,89306,7641,9.35651748,92565,3259,3.6,48037
Brazoria ,TX,191707,241767,50060,26.11276584,313166,71399,29.5,48039
Brazos ,TX,121862,152415,30553,25.07180253,194851,42436,27.8,48041
Brewster ,TX,8681,8866,185,2.131090888,9232,366,4.1,48043
Briscoe ,TX,1971,1790,-181,-9.183155758,1637,-153,-8.5,48045
Brooks ,TX,8204,7976,-228,-2.779132131,7223,-753,-9.4,48047
Brown ,TX,34371,37674,3303,9.609845509,38106,432,1.1,48049
Burleson ,TX,13625,16470,2845,20.88073394,17187,717,4.4,48051
Burnet ,TX,22677,34147,11470,50.5798827,42750,8603,25.2,48053
Caldwell ,TX,26392,32194,5802,21.98393453,38066,5872,18.2,48055
Calhoun ,TX,19053,20647,1594,8.366136566,21381,734,3.6,48057
Callahan ,TX,11859,12905,1046,8.820305253,13544,639,5,48059
Cameron ,TX,260120,335227,75107,28.87398124,406220,70993,21.2,48061
Camp ,TX,9904,11549,1645,16.60945073,12401,852,7.4,48063
Carson ,TX,6576,6516,-60,-0.912408759,6182,-334,-5.1,48065
Cass ,TX,29982,30438,456,1.520912548,30464,26,0.1,48067
Castro ,TX,9070,8285,-785,-8.654906284,8062,-223,-2.7,48069
Chambers,TX,20088,26031,5943,29.58482676,35096,9065,34.8,48071
Cherokee ,TX,41049,46659,5610,13.66659358,50845,4186,9,48073
Childress ,TX,5953,7688,1735,29.14496892,7041,-647,-8.4,48075
Clay ,TX,10024,11006,982,9.796488428,10752,-254,-2.3,48077
Cochran ,TX,4377,3730,-647,-14.78181403,3127,-603,-16.2,48079
Coke ,TX,3424,3864,440,12.85046729,3320,-544,-14.1,48081
Coleman ,TX,9710,9235,-475,-4.891864058,8895,-340,-3.7,48083
Collin ,TX,264036,491675,227639,86.21513733,782341,290666,59.1,48085
Collingsworth ,TX,3573,3206,-367,-10.27148055,3057,-149,-4.6,48087
Colorado ,TX,18383,20390,2007,10.9176957,20874,484,2.4,48089
Comal ,TX,51832,78021,26189,50.52670165,108472,30451,39,48091
Comanche ,TX,13381,14026,645,4.820267544,13974,-52,-0.4,48093
Concho ,TX,3044,3966,922,30.2890933,4087,121,3.1,48095
Cooke ,TX,30777,36363,5586,18.14991715,38437,2074,5.7,48097
Coryell ,TX,64213,74978,10765,16.76451809,75388,410,0.5,48099
Cottle ,TX,2247,1904,-343,-15.26479751,1505,-399,-21,48101
Crane ,TX,4652,3996,-656,-14.10146174,4375,379,9.5,48103
Crockett ,TX,4078,4099,21,0.514958313,3719,-380,-9.3,48105
Crosby ,TX,7304,7072,-232,-3.176341731,6059,-1013,-14.3,48107
Culberson ,TX,3407,2975,-432,-12.67977693,2398,-577,-19.4,48109
Dallam ,TX,5461,6222,761,13.93517671,6703,481,7.7,48111
Dallas ,TX,1852810,2218899,366089,19.75858291,2368139,149240,6.7,48113
Dawson ,TX,14349,14985,636,4.432364625,13833,-1152,-7.7,48115
Deaf Smith ,TX,19153,18561,-592,-3.090899598,19372,811,4.4,48123
Delta ,TX,4857,5327,470,9.676755199,5231,-96,-1.8,48119
Denton ,TX,273525,432976,159451,58.29485422,662614,229638,53,48121
DeWitt,TX,18840,20013,1173,6.22611465,20097,84,0.4,48123
Dickens ,TX,2571,2762,191,7.429015947,2444,-318,-11.5,48125
Dimmit ,TX,10433,10248,-185,-1.773219592,9996,-252,-2.5,48127
Donley,TX,3696,3828,132,3.571428571,3677,-151,-3.9,48129
Duval ,TX,12918,13120,202,1.563709553,11782,-1338,-10.2,48131
Eastland ,TX,18488,18297,-191,-1.033102553,18583,286,1.6,48133
Ector ,TX,118934,121123,2189,1.840516589,137130,16007,13.2,48135
Edwards ,TX,2266,2162,-104,-4.589585172,2002,-160,-7.4,48137
Ellis ,TX,85167,111360,26193,30.75486984,149610,38250,34.3,48141
El Paso ,TX,591610,679622,88012,14.87669242,800647,121025,17.8,48139
Erath ,TX,27991,33001,5010,17.89861027,37890,4889,14.8,48143
Falls,TX,17712,18576,864,4.87804878,17866,-710,-3.8,48145
Fannin ,TX,24804,31242,6438,25.95549105,33915,2673,8.6,48147
Fayette ,TX,20095,21804,1709,8.504603135,24554,2750,12.6,48149
Fisher ,TX,4842,4344,-498,-10.2850062,3974,-370,-8.5,48151
Floyd ,TX,8497,7771,-726,-8.544192068,6446,-1325,-17.1,48153
Foard ,TX,1794,1622,-172,-9.587513935,1336,-286,-17.6,48155
Fort Bend ,TX,225421,354452,129031,57.24000869,585375,230923,65.1,48157
Franklin ,TX,7802,9458,1656,21.22532684,10605,1147,12.1,48159
Freestone ,TX,15818,17867,2049,12.95359717,19816,1949,10.9,48161
Frio ,TX,13472,16252,2780,20.63539192,17217,965,5.9,48163
Gaines ,TX,14123,14467,344,2.435743114,17526,3059,21.1,48165
Galveston ,TX,217399,250158,32759,15.06860657,291309,41151,16.5,48167
Garza ,TX,5143,4872,-271,-5.269298075,6461,1589,32.6,48169
Gillespie,TX,17204,20814,3610,20.98349221,24837,4023,19.3,48171
Glasscock ,TX,1447,1406,-41,-2.833448514,1226,-180,-12.8,48173
Goliad ,TX,5980,6928,948,15.85284281,7210,282,4.1,48175
Gonzales,TX,17205,18628,1423,8.270851497,19807,1179,6.3,48177
Gray ,TX,23967,22744,-1223,-5.102849752,22535,-209,-0.9,48179
Grayson ,TX,95021,110595,15574,16.39006114,120877,10282,9.3,48181
Gregg ,TX,104948,111379,6431,6.127796623,121730,10351,9.3,48183
Grimes ,TX,18828,23552,4724,25.09029106,26604,3052,13,48185
Guadalupe ,TX,64873,89023,24150,37.22658117,131533,42510,47.8,48187
Hale ,TX,34671,36602,1931,5.569496121,36273,-329,-0.9,48189
Hall ,TX,3905,3782,-123,-3.149807939,3353,-429,-11.3,48191
Hamilton ,TX,7733,8229,496,6.414069572,8517,288,3.5,48193
Hansford ,TX,5848,5369,-479,-8.190834473,5613,244,4.5,48195
Hardeman ,TX,5283,4724,-559,-10.58110922,4139,-585,-12.4,48197
Hardin ,TX,41320,48073,6753,16.34317522,54635,6562,13.7,48199
Harris ,TX,2818199,3400578,582379,20.6649353,4092459,691881,20.3,48201
Harrison,TX,57483,62110,4627,8.049336326,65631,3521,5.7,48203
Hartley ,TX,3634,5537,1903,52.36653825,6062,525,9.5,48205
Haskell ,TX,6820,6093,-727,-10.65982405,5899,-194,-3.2,48207
Hays ,TX,65614,97589,31975,48.73197793,157107,59518,61,48209
Hemphill ,TX,3720,3351,-369,-9.919354839,3807,456,13.6,48211
Henderson ,TX,58543,73277,14734,25.16782536,78532,5255,7.2,48213
Hidalgo ,TX,383545,569463,185918,48.47358198,774769,205306,36.1,48215
Hill ,TX,27146,32321,5175,19.06358211,35089,2768,8.6,48217
Hockley ,TX,24199,22716,-1483,-6.128352411,22935,219,1,48219
